id,method,fungus,feeding,f0,f1,f2,f3,f4,survival,censored
c029,injection,control,constant,97.84,na,na,na,na,0,1
c030,injection,control,constant,86.23,93.75,na,na,na,2,1
c031,injection,control,constant,93.09,83.96,90.06,129.3,125.04,10,0
c032,injection,control,constant,81.4,90.08,107.87,98.98,105.11,10,0
c033,injection,control,constant,97.13,95.95,87.59,118.12,119.32,10,0
c034,injection,control,constant,88.24,84.32,86,126.71,121.43,10,0
c035,injection,control,constant,87.23,90.28,83.05,107.89,106.24,10,0
c036,injection,control,constant,88.39,na,na,na,na,0,1
c037,injection,control,constant,96.32,na,na,na,na,0,1
c038,injection,control,constant,84.46,na,na,na,na,0,1
c039,injection,control,constant,79.88,na,na,na,na,0,1
c040,injection,control,constant,82.42,92.21,87.69,148.43,158.77,10,0
c041,injection,control,constant,88.09,91.81,87.65,150.92,134.08,10,0
c042,injection,control,constant,70.5,na,na,na,na,0,1
c044,injection,control,constant,83.49,na,na,na,na,1,1
c045,injection,control,constant,83.05,na,na,na,na,0,1
c046,injection,control,constant,79.01,85.86,82.13,117.57,114.26,10,0
c047,injection,control,constant,98.35,na,na,na,na,1,1
c048,injection,control,constant,87.66,93.45,90.17,131.49,119.89,10,0
ax029,injection,alive,constant,83.29,na,na,na,na,0,1
ax030,injection,alive,constant,79.95,na,na,na,na,0,1
ax032,injection,alive,constant,86.81,na,na,na,na,2,1
ax033,injection,alive,constant,93.55,87.94,86.16,81.27,na,4,1
ax034,injection,alive,constant,82.05,86.03,84.71,77.58,na,4,1
ax036,injection,alive,constant,86.72,99.06,93.3,88.02,na,4,1
ax037,injection,alive,constant,87.37,73.65,85.22,79.41,na,4,1
ax038,injection,alive,constant,82.41,na,na,na,na,0,1
ax039,injection,alive,constant,82.34,80.01,80.31,85.34,na,4,1
ax040,injection,alive,constant,87.11,na,na,na,na,0,1
ax041,injection,alive,constant,90.51,na,na,na,na,0,1
ax042,injection,alive,constant,77.61,na,na,na,na,0,1
ax043,injection,alive,constant,84.95,88.95,na,na,na,2,1
ax044,injection,alive,constant,86.69,na,na,na,na,0,1
ax045,injection,alive,constant,93.16,122.69,76.75,na,na,3,1
ax046,injection,alive,constant,86.71,na,na,na,na,0,1
ax047,injection,alive,constant,87.11,77.19,na,na,na,2,1
ax048,injection,alive,constant,83.64,90.9,na,90.15,na,4,1
ay029,spray,control,constant,80.27,94.07,92.05,129.2,123.2,10,0
ay030,spray,control,constant,78.55,89.86,93.02,88.6,147.74,10,0
ay031,spray,control,constant,81.24,110.33,85.02,143.8,127.29,10,0
ay032,spray,control,constant,82.36,89.32,92.09,155.83,139.49,10,0
ay033,spray,control,constant,94.37,94.46,93,113.43,118.26,10,0
ay034,spray,control,constant,85.49,90.46,93.71,96.49,98.99,10,0
ay035,spray,control,constant,79.95,92.98,94.73,134.98,133.76,10,0
ay036,spray,control,constant,92.8,86.56,86.44,118.21,116.07,10,0
ay037,spray,control,constant,92.84,92.44,97.14,147.34,138.9,10,0
ay038,spray,control,constant,86.32,92.36,91.81,111.94,118.23,10,0
ay039,spray,control,constant,93.59,82.78,na,na,na,2,1
ay040,spray,control,constant,89.23,83.33,91.27,122.53,124.21,10,0
ay041,spray,control,constant,96.32,89.21,83.66,97.21,102.67,10,0
ay042,spray,control,constant,81.79,88.41,95.63,118.58,113.62,10,0
ay043,spray,control,constant,97.87,na,88.98,124.28,122.86,10,0
ay044,spray,control,constant,93.37,86.52,92.28,127.63,130.7,10,0
ay045,spray,control,constant,83.57,86.96,98.04,121.5,140.56,10,0
ay046,spray,control,constant,84.24,90.63,94.77,108.71,120.38,10,0
ay047,spray,control,constant,na,89.21,79.9,87.71,na,4,1
ay048,spray,control,constant,86.27,87.69,99.97,128.32,132.71,10,0
az029,spray,alive,constant,94.29,99.67,107.63,122.17,na,10,0
az030,spray,alive,constant,78.59,78.21,84.78,na,133.82,10,0
az032,spray,alive,constant,82.25,na,na,na,na,0,1
az033,spray,alive,constant,80.13,92.2,99.34,157.04,158.44,10,0
az034,spray,alive,constant,85.04,98.88,101.9,126.45,129.24,10,0
az035,spray,alive,constant,90.1,97.14,97.45,149.17,138.14,10,0
az036,spray,alive,constant,77.87,89,92.3,107.18,161.56,10,0
az037,spray,alive,constant,80.6,89.28,96.03,132.28,130.07,10,0
az038,spray,alive,constant,83.55,87.82,89.9,141.81,134.17,10,0
az039,spray,alive,constant,92.11,94.26,95,138.26,131.04,10,0
az040,spray,alive,constant,77.59,93.14,99.68,125.26,167.95,10,0
az041,spray,alive,constant,85.88,88.71,93.23,135.44,148.53,10,0
az042,spray,alive,constant,84.93,94.05,87.65,113.28,121.22,10,0
az043,spray,alive,constant,97.69,95.19,85.93,130.36,133.66,10,0
az044,spray,alive,constant,83.15,92.85,103.77,139.83,158.66,10,0
az045,spray,alive,constant,77.99,92.34,95.8,148.42,129.57,10,0
az046,spray,alive,constant,93.2,87.61,91.03,134.08,134.34,10,0
az047,spray,alive,constant,94.56,96.16,89.3,140.06,138.73,10,0
az048,spray,alive,constant,92.26,93.54,85.87,110.55,128.47,10,0
dx029,spray,control,starved,78.07,86.79,91.24,na,na,10,0
dx030,spray,control,starved,84.06,76.78,na,na,na,3,1
dx031,spray,control,starved,85.3,83.85,93.98,na,na,10,0
dx032,spray,control,starved,74.14,87.8,95.85,na,na,10,0
dx033,spray,control,starved,94.29,88.59,106.56,na,na,10,0
dx034,spray,control,starved,81.56,82.12,na,na,na,10,0
dx035,spray,control,starved,85.14,82.26,100.28,na,na,10,0
dx036,spray,control,starved,91.57,82.19,96.12,na,na,10,0
dx037,spray,control,starved,82.13,81.77,89.15,na,na,5,1
dx038,spray,control,starved,82.12,89.01,107.57,na,na,10,0
dx039,spray,control,starved,90.5,80.99,93.72,na,na,10,0
dx041,spray,control,starved,84.58,84.06,106.24,na,na,10,0
dx042,spray,control,starved,89.64,92.99,88,na,na,10,0
dx043,spray,control,starved,82.52,na,na,na,na,2,1
dx044,spray,control,starved,95.8,87.43,102.83,na,na,10,0
dx046,spray,control,starved,86.12,93.49,98.68,na,na,10,0
dx047,spray,control,starved,87.9,88.35,104.16,na,na,10,0
dx048,spray,control,starved,87.23,84.66,92.48,na,na,10,0
dy029,spray,alive,starved,85.97,90.61,101.79,na,na,10,0
dy030,spray,alive,starved,88.03,89.12,115.34,na,na,10,0
dy031,spray,alive,starved,86.84,87.21,105.23,na,na,10,0
dy032,spray,alive,starved,85.77,91.22,88.62,na,na,10,0
dy033,spray,alive,starved,86.32,94.87,91.57,na,na,10,0
dy034,spray,alive,starved,79.9,84.2,103.67,na,na,10,0
dy035,spray,alive,starved,80.98,82.17,94.47,na,na,10,0
dy036,spray,alive,starved,91.09,90.94,98.13,na,na,10,0
dy038,spray,alive,starved,93.54,91.46,92.5,na,na,10,0
dy039,spray,alive,starved,100.71,86.85,111.75,na,na,10,0
dy041,spray,alive,starved,87.67,89.23,112.73,na,na,10,0
dy042,spray,alive,starved,88.55,88.6,94.93,na,na,10,0
dy043,spray,alive,starved,92.01,89.52,97.95,na,na,10,0
dy044,spray,alive,starved,79.65,na,na,na,na,2,1
dy045,spray,alive,starved,74.11,na,na,na,na,0,1
dy046,spray,alive,starved,79.04,na,na,na,na,2,1
dy047,spray,alive,starved,77.63,95.49,108.12,na,na,10,0
dy048,spray,alive,starved,78.95,88.51,106.1,na,na,10,0
